top - 12:33:32 up 31 min,  1 user,  load average: 0.41, 0.88, 0.73
Tasks: 335 total,   2 running, 333 sleeping,   0 stopped,   0 zombie
%Cpu(s):  3.1 us,  1.5 sy,  0.0 ni, 95.4 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  15626.4 total,   8525.5 free,   3661.4 used,   4224.4 buff/cache     
MiB Swap:   4096.0 total,   4096.0 free,      0.0 used.  11965.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2728 root      20   0 2564296  71676  50028 S   0.0   0.4   0:00.68 dockerd
   2738 kernoops  20   0   12752   2340   1852 S   0.0   0.0   0:00.00 kernelo+
   2745 kernoops  20   0   12752   2420   1936 S   0.0   0.0   0:00.00 kernelo+
   3022 root      20   0  242592  10588   9016 S   0.0   0.1   0:00.03 gdm-ses+
   3054 muhamma+  20   0   21300  12780   9652 S   0.0   0.1   0:00.82 systemd
   3060 muhamma+  20   0   21476   3640   1836 S   0.0   0.0   0:00.00 (sd-pam)
   3070 muhamma+   9 -11  117804  16448   9028 S   0.0   0.1   0:01.37 pipewire
   3071 muhamma+  20   0   97744   6028   5144 S   0.0   0.0   0:00.02 pipewire
   3073 muhamma+   9 -11  567164  31880  24112 S   0.0   0.2   0:00.71 wireplu+
   3075 muhamma+   9 -11  123344  21404  10740 S   0.0   0.1   0:00.65 pipewir+
   3076 muhamma+  20   0  316668  10304   9112 S   0.0   0.1   0:00.09 gnome-k+
   3082 muhamma+  20   0   10788   6596   4680 S   0.0   0.0   0:00.80 dbus-da+
   3124 muhamma+  20   0  235720   6296   5772 S   0.0   0.0   0:00.00 gdm-x-s+
   3128 muhamma+  20   0  309320   6316   5792 S   0.0   0.0   0:00.00 xdg-per+
   3138 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nvidia-+
   3190 muhamma+  20   0  298244  16392  14456 S   0.0   0.1   0:00.05 gnome-s+
   3280 muhamma+  20   0  382988   8428   7588 S   0.0   0.1   0:00.02 at-spi-+
   3287 muhamma+  20   0    9620   5280   4620 S   0.0   0.0   0:00.30 dbus-da+
   3296 muhamma+  20   0  162660   6928   6228 S   0.0   0.0   0:00.00 gcr-ssh+
   3297 muhamma+  20   0   91556   5756   5296 S   0.0   0.0   0:00.00 gnome-s+
   3315 muhamma+  20   0  314284   8196   7304 S   0.0   0.1   0:00.05 gvfsd
   3323 muhamma+  20   0  459716   7260   6464 S   0.0   0.0   0:00.00 gvfsd-f+
   3326 muhamma+  20   0  668116  18444  15604 S   0.0   0.1   0:00.18 gnome-s+
   3370 muhamma+  20   0 4720396 350296 142428 S   0.0   2.2   1:39.90 gnome-s+
   3393 muhamma+  20   0 1297836 131208 101400 S   0.0   0.8   0:02.20 mutter-+
   3396 muhamma+  20   0  236060   8220   7368 S   0.0   0.1   0:00.60 at-spi2+
   3425 muhamma+  20   0  654788  17512  14856 S   0.0   0.1   0:00.05 gnome-s+
   3434 muhamma+  20   0  595388  42596  34456 S   0.0   0.3   0:00.13 evoluti+
   3440 muhamma+  20   0  230376   6268   5508 S   0.0   0.0   0:00.04 dconf-s+
   3449 muhamma+  20   0 2933284  27824  21992 S   0.0   0.2   0:00.15 gjs
   3465 muhamma+  20   0  546720  24148  20460 S   0.0   0.2   0:00.06 goa-dae+
   3469 muhamma+  20   0  462600  12748   7188 S   0.0   0.1   0:11.21 ibus-da+
   3471 muhamma+  20   0  383568   6864   6240 S   0.0   0.0   0:00.02 gsd-a11+
   3478 muhamma+  20   0  415548  25192  18172 S   0.0   0.2   0:00.25 gsd-col+
   3480 muhamma+  20   0  431720  12160  10796 S   0.0   0.1   0:00.04 gsd-dat+
   3486 muhamma+  20   0  460360   9636   7304 S   0.0   0.1   0:00.21 gsd-hou+
   3489 muhamma+  20   0  414436  24456  17504 S   0.0   0.2   0:00.25 gsd-key+
   3490 muhamma+  20   0  744220  30164  22360 S   0.0   0.2   0:00.40 gsd-med+
   3491 muhamma+  20   0  526152  28344  20852 S   0.0   0.2   0:00.32 gsd-pow+
   3492 muhamma+  20   0  323768  11748  10176 S   0.0   0.1   0:00.03 gsd-pri+
   3493 muhamma+  20   0  531092   6884   6156 S   0.0   0.0   0:00.03 gsd-rfk+
   3494 muhamma+  20   0  309568   6468   5884 S   0.0   0.0   0:00.02 gsd-scr+
   3498 muhamma+  20   0  543368  12436  10068 S   0.0   0.1   0:00.23 gsd-sha+
   3501 muhamma+  20   0  459600   8352   7356 S   0.0   0.1   0:00.02 gsd-sma+
   3503 muhamma+  20   0  393684  10036   8812 S   0.0   0.1   0:00.03 gsd-sou+
   3504 muhamma+  20   0  415080  25056  17624 S   0.0   0.2   0:00.27 gsd-wac+
   3508 muhamma+  20   0  417028  27832  20060 S   0.0   0.2   0:00.36 gsd-xse+
   3517 muhamma+  20   0  389368  10816   8884 S   0.0   0.1   0:00.16 gvfs-ud+
   3532 muhamma+  20   0  898904  64444  48612 S   0.0   0.4   0:00.33 evoluti+
   3553 muhamma+  20   0  305500   7620   6184 S   0.0   0.0   0:00.02 gsd-dis+
   3572 muhamma+  20   0 2075476 452424 147832 S   0.0   2.8   0:44.62 gnome-s+
   3577 muhamma+  20   0  389132   9464   8360 S   0.0   0.1   0:00.11 goa-ide+
   3592 muhamma+  20   0  964640  24348  20872 S   0.0   0.2   0:00.10 evoluti+
